ICAO	Airline	CALL SIGN	Country
ABY	Air Arabia	ARABIA	United Arab Emirates
ABZ	Air Ambulance Services	ISLAND LIFEFLIGHT	Bahamas
ACA	Air Canada	AIR CANADA	Canada
ACB	African Cargo Services	AFRICARGO	Kenya
ACC		AEROCHARTER	
ACD	Academy Airlines	ACADEMY	United States
ACE		FASTCARGO	
ACF	Centro de Formación Aeronáutica de Canarias	FORCAN	Spain
ACG	Air Partner	AIR PARTNER	United Kingdom
ACH	Air Cargo Plus	AIR PLUS	Liberia
ACI	Aircalin	AIRCALIN	New Caledonia
ACJ	Avicon	AVICHARTER	Kenya
ACK	Nantucket Airlines	ACK AIR	United States
ACL	Itali Airlines	SPADA	Italy
ACM	Air Caledonia	WEST CAL	Canada
ACN	Central American Airlines	AEROCENTRO	Nicaragua
ACO		AERO COMONDU	
ACP	Astral Aviation	ASTRAL CARGO	Kenya
ACQ		AERO CONTINENTE	
ACR	Aerocenter, Escuela de Formación de Pilotos Privados de Avión	AEROCENTER	Spain
ACS	Aircraft Sales and Services	AIRCRAFT SALES	Pakistan
ACT	Flight Line	AMERICAN CHECK	United States
ACU	Air Cargo Transportation System	AFRISPIRIT	Kenya
ACV		CARNAIR	
ACW	Royal Air Force	AIR CADET	United Kingdom
ACX		PARAIR	
ACY	Atlas Cargo Airlines	ATLAS CARGOLINES	Morocco
ADA	Airservices Australia	AUSCAL	Australia
ADB	Antonov Airlines	ANTONOV BUREAU	Ukraine
ADC	AD Astra Executive Charter	AD ASTRA	Poland
ADD		AD ASTRA	
ADE		ADA AIR	
ADF	Ade, Aviación Deportiva	ADE AVIACION	Spain
ADG	Aerea Flying Training Organization	AEREA TRAINING	Spain
ADH		HERON	
ADI	Audeli Air	AUDELI	Spain
ADJ		ABICAR	
ADK		ADCO	
ADL	Aero Dynamics	COTSWOLD	United Kingdom
ADM		DOMINAIR	
ADN	Aero-Dienst	AERODIENST	Germany
ADO	Air Do	AIR DO	Japan
ADP	Aerodiplomatic	AERODIPLOMATIC	Mexico
ADQ	Avion Taxi	AIR DATA	Canada
ADR	Adria Airways	ADRIA	Slovenia
ADS	Aviones de Sonora	SONORAV	Mexico
ADT	Arrendaminetos y Transportes Turisticos	ARRENDA-TRANS	Mexico
ADU	Airdeal Oy	AIRDEAL	Finland
ADV	Advanced Flight Training	ADVANCED	United Kingdom
ADW		AIR ANDAMAN	
ADX	Anderson Aviation	ANDAX	United States
ADY	Aerodyne	AERODYNE	United States
ADZ		MIGRATOR	
AEA	Air Europa	EUROPA	Spain
AEB		AEROBEN	
AEC		AEROCESAR	
AED		AIE EXPERIENCE	
AEE	Aegean Airlines	AEGEAN	Greece
AEF		AERO LLOYD	
AEG	Airest	AIREST CARGO	Estonia
AEG	Airest	AIREST	Estonia
AEH	Aero4m	AEROCUTTER	Slovenia
AEI	Air Italy Polska	POLISH BIRD	Poland
AEJ	Air Express	KHAKI EXPRESS	Tanzania
AEK	Aerocon	AEROCON	Bolivia
AEL	Air Europe	AIR EUROPE	Italy
AEM	Aero Madrid	AEROMADRID	Spain
AEN		ENTERPRISE	
AEO	Aeroservicios Ejecutivos Del Occidente	AERO OCCIDENTE	Mexico
AEP	Aerotec Escuela de Pilotos	AEROTEC	Spain
AEQ	Air Express	LUNA	Sweden
AER	Alaska Central Express	ACE AIR	United States
AES	Aerosur Paraguay	AEROPARAGUAY	Paraguay
AET		AEROTHAI	
AEU		FLYSTAR	
AEV	Aeroventas	AEROVENTAS	Mexico
AEW		AEROSVIT	
AEX		AVCO	
AEY		AIR ITALY	
AEZ	Aerial Transit	AERIAL TRANZ	United States
AFA	Alfa Air	BLUE ALFA	Czech Republic
AFB		AMERICAN FALCON	
AFC	African West Air	AFRICAN WEST	Senegal
AFD	Panorama Flight Service	AIRFED	United States
AFE	Airfast Indonesia	AIRFAST	Indonesia
AFF	Africa Airways	AFRIWAYS	Benin
AFG	Ariana Afghan Airlines	ARIANA	Afghanistan
AFH		AIR AFGHANISTAN	
AFI	Africaone	AFRICAWORLD	The Gambia
AFJ		JAMBO	
AFK	Africa Air Links	AFRICA LINKS	Sierra Leone
AFL	Aeroflot Russian Airlines	AEROFLOT	Russia
AFM		AIR AFGHANISTAN	
AFN	African International Airlines	SIMBA	Lesotho
AFO	Aero Empresa Mexicana	AERO EMPRESA	Mexico
AFP	Portuguese Air Force	PORTUGUESE AIR FORCE	Portugal
AFQ	Alba Servizi Aerotrasporti	ALBA	Italy
AFR	Air France	AIRFRANS	France
AFS		ANNIE	
AFU		AVIOFUN	
AFV	Air Afrique Vacancies	AFRIQUE VACANCE	Côte d'Ivoire
AFW	Africa World Airlines	BLACKSTAR	Ghana
AFX		SKYPAC	
AFY	Africa Chartered Services	AFRICA CHARTERED	Nigeria
AFZ	Africa Freight Services	AFREIGHT	Zambia
AGA	AG Air	GEOLINE	Georgia
AGC	Arab Agricultural Aviation Company	AGRICO	Egypt
AGD		AGDERFLY	
AGE	Servicios Aéreos de Los Ángeles	AEROANGEL	Mexico
AGF		AIR GEORGIA	
AGG		AIR GRISCHA	
AGH	Altagna	ALTAGNA	France
AGI	Aereo Transportes Los Angeles de America	ANGELES AMERICA	Mexico
AGJ		AIR GREECE	
AGK		TAG UKRAINE	
AGL		GALAXY CARGO	
AGM	Air Guam	AIR GUAM	United States
AGM	Aviation West Charters	ANGEL MED	United States
AGN		GOLF NOVEMBER	
AGO	Angola Air Charter	ANGOLA CHARTER	Angola
AGP	AERFI Group	AIR TARA	Ireland
AGQ		GALASERVICE	
AGR	United States Department Of Agriculture	AGRICULTURE	United States
AGS		ATAS	
AGT	Amadeus IT Group	AMADEUS	Spain
AGU	Angara Airlines	SARMA	Russia
AGV	Air Glaciers	AIR GLACIERS	Switzerland
AGW		AGRONAUT	
AGX		GENEX	
AGY	Aero Flight Service	FLIGHT GROUP	United States
AGZ	Agrolet-Mci	AGROLET	Slovakia
AHA	Air Alpha Greenland	AIR ALPHA	Denmark
AHB		ALHAMBRA	
AHC	Azal Avia Cargo	AZALAVIACARGO	Azerbaijan
AHD	Czech Air Handling	AIRHANDLING	Czech Republic
AHE	Airport Helicopter Basel, Muller & Co.	AIRPORT HELICOPTER	Switzerland
AHF	Aspen Helicopters	ASPEN	United States
AHG		AEROCHAGO	
AHH	Airplanes Holdings	AIRHOLD	Ireland
AHI	Servicios Aéreos de Chihuahua Aerochisa	AEROCHISA	Mexico
AHJ		AVYCOP	
AHK	Air Hong Kong	AIR HONG KONG	Hong Kong
AHL	Aerolíneas Hidalgo	HIDALGO	Mexico
AHM	Garrison Aviation	AIR HURON	Canada
AHN	Air Hungaria	AIR HUNGARIA	Hungary
AHO	Air Hamburg	AIR HAMBURG	Germany
AHP	Aerochiapas	AEROCHIAPAS	Mexico
AHR		ORANGE	
AHS	AHS Air International	HIGH SKY	Pakistan
AHS	Air Viggi San Raffaele	AIRSAR	Italy
AHT	HTA Helicopteros	HELIAPRA	Portugal
AHU	ABC Air Hungary	A_B_C HUNGARY	Hungary
AHW		SKY CAPITAL	
AHX		AMAKUSA AIR	
AHY	Azerbaijan Airlines	AZAL	Azerbaijan
AIA	Avies	AVIES	Estonia
AIB	Airbus Industrie	AIRBUS INDUSTRIE	France
AIC	Air India	AIRINDIA	India
AID	Christian Konig - Century Airbirds	CENTURY AIRBIRD	Austria
AIE	Air Inuit	AIR INUIT	Canada
AIF		FLYMED	
AIH	Air Incheon	AIR INCHEON	South Korea
AII	Air Integra	INTEGRA	Canada
AIJ	InterJet	A_B_C AEROLINEAS	Mexico
AIK	African Airlines International Limited	AFRICAN AIRLINES	Kenya
AIL		AIR ILLINOIS	
AIM	Trabajos Aéreos Murcianos	PIJO	Spain
AIN	African International Airways	FLY CARGO	Swaziland
AIO	United States Air Force	AIR CHIEF	United States
AIP	Alpine Air Express	ALPINE AIR	United States
AIQ	Thai AirAsia	THAI ASIA	Thailand
AIR		AIRLIFT	
AIS	Air Sureste	SURESTE	Spain
AIT		AIR TAURUS	
AIU	Alicante Internacional Airlines	ALIA	Spain
AIV	Airvias S/A Linhas Aéreas	AIRVIAS	Brazil
AIW	Atlantic Island Airways	TARTAN	Canada
AIX	Aircruising Australia	CRUISER	Australia
AIY	Aircrew Check and Training Australia	AIRCREW	Australia
AIZ	Arkia Israel Airlines	ARKIA	Israel
AJA	Afghan Jet International Airlines	AFGHAN JET	Afghanistan
AJB	Aero JBR	AERO JBR	Mexico
AJC	Bar Harbor Airlines	BAR HARBOR	United States
AJD		VISTA GEORGIA	
AJE		JET EXPRESS	
AJF	Avia Consult Flugbetriebs	AVIACONSULT	Austria
AJH	Aeroaljarafe	ALJARAFE	Spain
AJI	Ameristar Jet Charter	AMERISTAR	United States
AJJ	A2 Jet Leasing	ATLANTIC JET	United States
AJK	Allied Air	BAMBI	Nigeria
AJL		BIRD EXPRESS	
AJM		JULIETT MIKE	
AJN		BAJANTE	
AJO		AEROEXO	
AJP	Aero Jets Corporativos	AEROJETS	Mexico
AJQ		PANAJET	
AJR	A-Jet Aviation Company	JET MONGOLIA	Mongolia
AJS	Aeroejecutivos Colombia	AEROEJECUTIVOS	Colombia
AJT	Amerijet International	AMERIJET	United States
AJU	Air Jetsul	AIRJETSUL	Portugal
AJV		LEE JET	
AJW	Alpha Jet International	ALPHAJET	United States
AJX	Air Japan	AIR JAPAN	Japan
AJY		AYJET	
AJZ		ANGLO JET	
AKA		INTERALAS	
AKB	Aktjubavia	KARAB	Kazakhstan
AKC	Arca Aerovías Colombianas Ltda.	ARCA	Colombia
AKD		ALFA ASIA	
AKE		AIR MAKEN	
AKF	Anikay Air Company	ANIKAY	Kyrgyzstan
AKG	No. 84 Squadron RAF	GRIFTER	United Kingdom
AKH	Akhal	AKHAL	Turkmenistan
AKK	Aklak Air	AKLAK	Canada
AKL		AIR KIRIBATI	
AKM	Mak Air	MAKAIR	Kazakhstan
AKN	Alkan Air	ALKAN AIR	Canada
AKO		OBELIX	
AKP		ASKARI AIR	
AKQ		MOONFLIGHT	
AKR	Aero Clinker	AERO CLINKER	Mexico
AKS		AKHMOS	
AKT	Karat	AVIAKARAT	Russia
AKU		ACSUNKAR	
AKW		ANGKORWAYS	
AKX	ANA Wings	ALFA WING	Japan
AKY	Yak-Service	YAK-SERVICE	Russia
AKZ		ABSOLUTE	
ALA		ALBION	
ALB	Aero Albatros	ALBATROS	Mexico
ALC	Southern Jersey Airways, Inc.	ACOM	United States
ALD	Albion Aviation	ALBION	United Kingdom
ALE		AEROALAS	
ALF	Allied Command Europe (Mobile Force)	ACEFORCE	Belgium
ALG	Air Logistics	AIRLOG	United States
ALH		LOFCARGO	
ALI		BLUELIFT	
ALJ	Heli Ambulance Team	ALPIN HELI	Austria
ALK	SriLankan Airlines	SRILANKAN	Sri Lanka
ALL	Aerovallarta	VALLARTA	Mexico
ALM		ANTILLEAN	
ALN	Air Lincoln	CHICAGO LINCOLN	United States
ALN	Alpha Jet, S.R.O.	TOLEMAC	Slovakia
ALO	Allegheny Commuter Airlines	ALLEGHENY	United States
ALP	Allpoints Jet	ALLPOINTS	China
ALQ	Altair Aviation (1986)	ALTAIR	Canada
ALR	Líneas Aéreas Alaire S.L.	AEROLAIRE	Spain
ALS	Aeralp	AERALP	France
ALT	Aerolíneas Centrales	AERLINEAS CENTRALES	Mexico
ALU	Air Luxor STP	LUXORJET	São Tomé and Príncipe
ALV	Aeropostal Alas de Venezuela	AEROPOSTAL	Venezuela
ALW	Alas Nacionales, S.A.	ALNACIONAL	Dominican Republic
ALX	Hewa Bora Airways	ALLCONGO	Democratic Republic of the Congo
ALY	Alyeska Air Service	ALYESKA	United States
ALZ		ALLIANCE AIR	
AMA	ATMA	ADIK	Kazakhstan
AMB	Deutsche Rettungsflugwacht	CIVIL AIR AMBULANCE	Germany
AMC	Air Malta	AIR MALTA	Malta
AMD		AEROLINEAS MEDELLIN	
AME	Spanish Air Force	AIRMIL	Spain
AMF	Ameriflight	AMFLIGHT	United States
AMG		AIR MINAS	
AMH		MANN	
AMI		AIRMEK	
AMJ	Aviation Amos	AVIATION AMOS	Canada
AMK	Amerer Air	AMER AIR	Austria
AML	Air Malawi	MALAWI	Malawi
AMM	Aeroputul International Marculesti	AEROM	Moldova
AMN	Air Montenegro	MONTENEGRO	Montenegro
AMO	Air Montreal (Air Holdings Inc.)	AIR MONTREAL	Canada
AMP	Aero Transporte S.A. (ATSA)	ATSA	Peru
AMQ	Aircraft Management and Consulting	AMEX	Poland
AMR	Air Specialties Corporation	AIR AM	United States
AMS	Air Muskoka	AIR MUSKOKA	Canada
AMT		AMTRAN	
AMU	Air Macau	AIR MACAU	Macao
AMV		A_M_C AIRLINES	
AMW		AIR MIDWEST	
AMX	Aeromexico	AEROMEXICO	Mexico
AMY	Air Ambar	AIR AMBAR	Dominican Republic
AMZ	Amiya Airline	AMIYA AIR	Nigeria
ANA	All Nippon Airways	ALL NIPPON	Japan
ANB	Air Navigation And Trading Co. Ltd.	AIR NAV	United Kingdom
ANC		ANGLO	
AND	National Jet Service	AIR INDIANA	United States
AND	Servicios Aéreos de los Andes	SERVI ANDES	Peru
ANE	Air Nostrum	AIR NOSTRUM	Spain
ANF		CRESTA	
ANG	Air Niugini	NIUGINI	Papua New Guinea
ANH	Alajnihah for Air Transport	ALAJNIHAH	Libya
ANI	Air Atlantic (Nig) Limited	NIGALANTIC	Nigeria
ANJ		AERO ALENTEJO	
ANK		ANK AIR	
ANL	Nacoia Lda	AIR NACOIA	Angola
ANM	Aerotransportacion de Norteamerica	NORAM	Mexico
ANO	Airnorth	TOPEND	Australia
ANP		NICO FLIERS	
ANQ	Aerolínea de Antioquia	ANTIOQUIA	Colombia
ANR		YANAIR	
ANS	Andes Líneas Aéreas	AEROANDES	Argentina
ANT	Air North Charter - Canada	AIR NORTH	Canada
ANU		AVIONAIR	
ANV	Air Nevada	AIR NEVADA	United States
ANW		ANGEL WINGS	
ANX	Secretaria de Marina	SECRETARIA DEMARINA	Mexico
ANZ	Air New Zealand	NEW ZEALAND	New Zealand
AOA	Alcon Servicios Aéreos, S.A. de C.V.	ALCON	Mexico
AOB	Aerocaribe Coro	CARIBE CORO	Venezuela
AOC	AVCOM	AERO AVCOM	Russia
AOD	Aero Vodochody	AERO CZECH	Czech Republic
AOE	Livingstone Executive	LIVINGSTONE AIR	Italy
AOF	Atair Pty Ltd.	ATAIR	South Africa
AOG		AVIP	
AOH		AIR OHIO	
AOI		ASTORIA	
AOJ	Avcon Jet	ASTERIX	Austria
AOL		AIRLEASE	
AOM		ANDRODA	
AON	Aero Entreprise	AERO ENTERPRISE	France
AOO	As, Opened Joint Stock Company	COMPANY AS	Ukraine
AOP	Aeropiloto	AEROPILOTO	Portugal
AOR	Afro International Ent. Limited	INTER-AFRO	Nigeria
AOS	Servicios Aéreos Del Sol, S.A. de C.V.	AEROSOL	Mexico
AOT	Asia Overnight Express	ASIA OVERNIGHT	Philippines
AOU	Air Tractor	AIR TRACTOR	Croatia
AOV	Aero Vision	AEROVISION	France
AOW		AIR ANDAMAN	
AOX	Aerotaxi Del Valle	AEROVALLE	Colombia
APA	Air Park Aviation Ltd.	CAN-AM	Canada
APB		CHARENTE	
APC	Airpac Airlines, Inc.	AIRPAC	United States
APE	Parcel Express	AIR PARCEL	United States
APF	Amapola Flyg AB	AMAPOLA	Sweden
APG	Philippines AirAsia	COOL RED	Philippines
APH	Alpha Aviation, Inc.	AIRFLIGHT	United States
API	ASA Pesada, Lda.	ASA PESADA	Angola
APJ	Peach Aviation	AIR PEACH	Japan
APK		PEACE BIRD	
APL	Appalachian Flying Service, Inc.	APPALACHIAN	United States
APL	Corporativo Aereo Principal	AEREO PRINCIPAL	Mexico
APM	Airpac, Inc.	ALASKA PACIFIC	United States
APN		AIR POLONIA	
APO		AEROPRO	
APP	Aerolíneas Pacífico Atlántico, S.A. (Apair)	AEROPERLAS	Panama
APQ	Aspen Aviation	ASPEN BASE	United States
APR	Aerolíneas Primordiales	AEROPERLAS	Mexico
APS		APISA	
APT	LAP Colombia - Líneas Aéreas Petroleras, S.A.	LAP	Colombia
APU	Aeropuma, S.A.	AEROPUMA	El Salvador
APV	Air Plan International	AIR PLAN	Democratic Republic of the Congo
APW		BIG A	
APX	Apex Air Cargo	PARCEL EXPRESS	United States
APY	APA Internacional	APA INTERNACIONAL	Dominican Republic
APZ		AMPERE	
AQA	Aeroatlas, S.A.	ATCO	Colombia
AQB		AQUAIR	
AQC		ALQUILADORA	
AQI		AQUITANIA	
AQL	Aquila Air Ltd.	AQUILA	Canada
AQN		BUSHAIR	
AQO	Aluminum Company Of America	ALCOA SHUTTLE	United States
AQQ		APSARA	
AQS	Airstream	AIRSTREAM	Czechia
AQT	Aviones de Renta de Quintana Roo, S.A. de C.V.	AVIOQUINTANA	Mexico
AQU		AQUAIR	
AQZ	Aerodyne Charter Company	QUANZA	United States
ARA	Arik Air	ARIK AIR	Nigeria
ARB	Avia Air N.V.	AVIAIR	Aruba
ARD		AEROCONDOR	
ARE	LATAM Colombia	LAN COLOMBIA	Colombia
ARF		ANIMAL FLIGHTS	
ARG	Aerolineas Argentinas	ARGENTINA	Argentina
ARH	Aerohelicopteros	AEROHELCA	Venezuela
ARH	Arrowhead Airways	ARROWHEAD	United States
ARI	Aero Vics	AEROVICS	Mexico
ARK	Aero Link Air Services S.L.	LINK SERVICE	Spain
ARL	Airlec - Air Aquitaine Transport	AIRLEC	France
ARM		SUNSKY	
ARN		AERONEX	
ARO	Acero Taxi	ACERO	Mexico
ARP	Aero Corporate	IVORYCORP	Côte d'Ivoire
ARQ	Armstrong Air, Inc.	ARMSTRONG	Canada
ARR	Air Armenia	AIR ARMENIA	Armenia
ARS	Aeromet Servicios	METSERVICE	Chile
ART	Aerotal Aerolíneas Territoriales de Colombia Ltda.	AEROTAL	Colombia
ART	Smartlynx Airlines	SMART LYNX	Latvia
ARU	Aruba Airlines	ARUBA	Aruba
ARV	Aravco Ltd.	ARAVCO	United Kingdom
ARW	Aria	ARIABIRD	France
ARX	Air Xpress, Inc.	AIREX	United States
ARY	Argosy Airways	GOSEY	United States
ARZ	Air Resorts	AIR RESORTS	United States
ASA	Alaska Airlines	ALASKA	United States
ASB	Air-Spray 1967 Ltd.	AIR SPRAY	Canada
ASC	Air Star Corporation	AIR STAR	Canada
ASD	Air Sinai	AIR SINAI	Egypt
ASE		ASERTEC	
ASF	Air Schefferville, Inc.	SCHEFF	Canada
ASF	Austrian Air Force	AUSTRIAN AIRFORCE	Austria
ASG	African Star Airways (PTY) Ltd.	AFRICAN STAR	South Africa
ASH	Mesa Airlines	AIR SHUTTLE	United States
ASI	Aerosun International, Inc.	AEROSUN	United States
ASJ		ASTONJET	
ASK	Aerosky	MULTISKY	Spain
ASK	La Ronge Aviation Services	AIR SASK	Canada
ASL	Air Serbia	AIR SERBIA	Serbia
ASM	Awesome Flight Services (PTY) Ltd.	AWESOME	South Africa
ASN		AIR NANTES	
ASO	Aero Slovakia	AERO NITRA	Slovakia
ASP	Airsprint	AIRSPRINT	Canada
ASQ	ExpressJet	ACEY	United States
ASR	Aero Sotravia	SOTRAVIA	France
ASR	All Star Airlines, Inc.	ALL STAR	United States
ASS	Air Class, S.A. de C.V.	AIR CLASS	Mexico
AST	Aerolíneas Del Oeste	AEROESTE	Mexico
ASU		COMMUTER LINER	
ASV	Air Seoul	AIR SEOUL	South Korea
ASW		ASIAWAYS	
ASX	Air Special	AIRSPEC	Czech Republic
ASY	Royal Australian Air Force	AUSSIE	Australia
ASZ		ASCENSION	
ATB	Atlantair Ltd.	STARLITE	Canada
ATC	Air Tanzania	TANZANIA	Tanzania
ATD	Aerotours Dominicana	AEROTOURS	Dominican Republic
ATE	Atlantis Transportation Services, Ltd.	ATLANTIS CANADA	Canada
ATF	Compañía Aerotécnicas Fotográficas	AEROTECNICAS	Spain
ATG	Aerotranscargo[6]	MOLDCARGO	Moldova
ATH	Air Travel Corp.	AIR TRAVEL	United States
ATI		ATI	
ATJ	Air Traffic GmbH	SNOOPY	Germany
ATK		AEROTACA	
ATL	??	CENTRALMEX	Mexico
ATM	Airlines of Tasmania	AIRTAS	Australia
ATN	Air Transport International	AIR TRANSPORT	United States
ATO		SCHOOL FLYING	
ATP	ASTRAL Colombia - Aerotransportes Especiales Ltda.	ASTRAL	Colombia
ATQ	Air Transport Schiphol	MULTI	Netherlands
ATQ	CHC Helicopters Nigeria	COLIBRI	Nigeria
ATR	Atlas Airlines	ATLAS-AIR	United States
ATS		AIR ATLAS	
ATT	Attawasol Airlines	ATTAWASOL AIR	Libya
ATU	Atlant Aerobatics Ltd.	ATLANT HUNGARY	Hungary
ATV	Avanti Air	AVANTI AIR	Germany
ATW	Air Antwerp	DEVIL	Belgium
ATX	Warwickshire Aerocentre Ltd.	AIRTAX	United Kingdom
ATY		AIRCARE	
ATZ	Ace Air	ACE TAXI	South Korea
AUA	Austrian Airlines	AUSTRIAN	Austria
AUB		AUGSBURG AIR	
AUC		AUSCARGO	
AUD	Audi Air, Inc.	AUDI AIR	United States
AUE		AIR UNIVERSE	
AUF	Augusta Air Luftfahrtunternehmen	AUGUSTA	Germany
AUG		AUGUSTO	
AUH	Abu Dhabi Amiri Flight	SULTAN	United Arab Emirates
AUI	Ukraine International Airlines	UKRAINE INTERNATIONAL	Ukraine
AUJ	Business Flight Salzburg	AUSTROJET	Austria
AUK		AURIC SERVICES	
AUL	Nordavia	ARCHANGELSK AIR	Russia
AUM	Air Atlantic Uruguay	ATLAMUR	Uruguay
AUN	Aviones Unidos	AVIONES UNIDOS	Mexico
AUN	Common Sky	COMMON SKY	Austria
AUO	Empresa (Aero Uruguay), S.A.	UNIFORM OSCAR	Uruguay
AUR	Aurigny Air Services	AYLINE	United Kingdom
AUS		AUSTRALINA	
AUT	Austral Líneas Aéreas	AUSTRAL	Argentina
AUU		AURORA AIR	
AUV		AUSTRIAN AMBULANCE	
AUY	Aerolíneas Uruguayas, S.A.	AUSA	Uruguay
AUZ	Australian Airlines	AUSTRALIAN	Australia
AVA	Avianca	AVIANCA	Colombia
AVB	Aviation Beauport	BEAUPAIR	United Kingdom
AVC		AIRTEAM VARNA	
AVD	Álamo Aviación, S.L.	ALAMO	Spain
AVE		ALPHAVICTORECHO	
AVF	Aviair Aviation Ltd.	CARIBOO	Canada
AVG	Air Falcon	DJIBOUTI FALCON	Djibouti
AVG	Aviation Legacy	AVILEF	Gambia
AVH	AV8 Helicopters	KENT HELI	United Kingdom
AVI		AVIORRENTA	
AVJ	Avia Traffic Company	ATOMIC	Kyrgyzstan
AVK	AV8 Helicopters	AVIATE-COPTER	South Africa
AVL		SKY VENTURES	
AVM	Aviación Ejecutiva Mexicana, S.A.	AVEMEX	Mexico
AVN	Air Vanuatu	AIR VAN	Vanuatu
AVO	Aviation at Work	AVIATION WORK	South Africa
AVP	Aviacion Corporativa de Peubla	AVIA PUEBLA	Mexico
AVQ	Aviation Services, Inc.	AQUILINE	United States
AVR	Active Aero Charter, Inc.	ACTIVE AERO	United States
AVS	Avialsa T-35	AVIALSA	Spain
AVT		ASIAVIA	
AVU	Avia Sud Aérotaxi	AVIASUD	France
AVV	Airvantage Incorporated	AIRVANTAGE	United States
AVW	Aviator Airways	AVIATOR	Greece
AVX		PASLAUGA	
AVY	Aerovaradero, S.A.	AEROVARADERO	Cuba
AVZ	Air Valencia	AIR VALENCIA	Spain
AWA		WESTERN	
AWB	Airways International, Inc.	AIRNAT	United States
AWC	Titan Airways	ZAP	United Kingdom
AWD		ENVOY	
AWE	US Airways	CACTUS	United States
AWF		SINBAD	
AWG		SKYRIBBEAN	
AWH		INTER NIGER	
AWI	Air Wisconsin	WISCONSIN	United States
AWJ	Sahel Airlines	SAHEL AIRLINES	Niger
AWK	Airwork	AIRWORK	New Zealand
AWL	Australian Wetleasing	AUSSIEWORLD	Australia
AWM	Asian Wings Airways	ASIAN STAR	Myanmar
AWN	Air Niamey	AIR NIAMEY	Niger
AWO	Awood Air Ltd.	AWOOD AIR	Canada
AWP		NIGER INTERNATIONAL	
AWQ	Indonesia AirAsia	WAGON AIR	Indonesia
AWR	Arctic Wings And Rotors Ltd.	ARCTIC WINGS	Canada
AWS	Arab Wings	ARAB WINGS	Jordan
AWT	Air West	AIR WEST	Canada
AWT	Albawings	ALBAWINGS	Albania
AWU	Sylt Air GmbH	SYLT-AIR	Germany
AWV	Airwave Transport, Inc.	AIRWAVE	Canada
AWW		AIR CYMRU	
AWX	Civil Aviation Authority Directorate of Airspace Policy	ALLWEATHER	United Kingdom
AWY	Aeroway, S.L.	AEROWEE	Spain
AXA		A_A_R AIRLINES	
AXB	Air India Express	EXPRESS INDIA	India
AXC		AIR EXCLUSIVE	
AXD	Air Express	AIR SUDEX	Sudan
AXE	AirExplore	GALILEO	Slovakia
AXF	Asian Express Airlines	FREIGHTEXPRESS	Australia
AXG	Air X Germany	FORTUNE	Germany
AXH	Aeromexhaga	AEROMEXHAGA	Mexico
AXI	Aeron International Airlines, Inc.	AIR FREIGHTER	United States
AXJ		AJAX	
AXK	African Express Airways	EXPRESS JET	Kenya
AXL		EXEL COMMUTER	
AXM	AirAsia	RED CAP	Malaysia
AXO		AXONAIR	
AXP	Aeromax	AEROMAX SPAIN	Spain
AXQ	Action Airlines (Action Air Charter)	ACTION AIR	United States
AXR	Axel Rent, S.A.	RENTAXEL	Mexico
AXS	Altus Airlines	ALTUS	United States
AXT		AXTRANSPORTER	
AXV	Aviaxess	AXAVIA	France
